"Time","data Analog Input #2"
1729208772096,2
1729208772800,2.01
1729208773900,2
1729208775400,2
1729208776100,2
1729208776200,2
1729208776300,1.99
1729208776700,1.98
1729208777900,1.98
1729208777999,1.91
1729208778100,1.61
1729208778199,1.22
1729208778299,0.93
1729208778399,0.78
1729208778500,0.62
1729208778599,0.45
1729208778703,0.29
1729208778801,0.09
1729208779299,0.01
1729208780699,0.01
1729208782099,0.01
1729208783498,0.01
1729208784799,0.01
1729208786203,0.01
1729208787603,0.01
1729208789002,0.01
1729208790302,0.01
1729208791702,0.01
1729208793102,0.01
1729208794401,0.01
1729208795901,0.01
1729208797301,0.01
1729208798806,0.01
1729208800010,0.01
1729208801310,0.01
1729208802510,0.01
1729208803810,0.01
1729208805109,0.01
1729208806314,0.01
1729208807614,0.01
1729208808914,0.01
1729208810214,0.01
1729208811513,0.01
1729208813518,0.01
1729208814818,0.01
1729208816117,0.01
1729208817417,0.01
1729208818719,0.01
1729208820017,0.01
1729208821316,0.01
1729208822716,0.01
1729208824016,0.01
1729208825416,0.01
1729208826715,0.01
1729208828115,0.01
1729208829515,0.01
1729208830820,0.01
1729208832523,0.01
1729208834219,0.01
1729208835819,0.01
1729208837227,0.01
1729208838628,0.01
1729208839828,0.01
1729208841128,0.01
1729208842328,0.01
1729208843627,0.01
1729208845027,0.01
1729208846327,0.01
1729208847627,0.01
1729208848926,0.01
1729208850326,0.01
1729208852026,0.01
1729208853830,0.01
1729208855830,0.01
1729208857630,0.01
1729208859134,0.01
1729208861034,0.01
1729208863134,0.01
1729208864933,0.01
1729208867033,0.01
1729208869438,0.01
1729208871242,0.01
1729208872742,0.01
1729208879441,0.01
1729208880841,0.01
1729208882240,0.01
1729208883640,0.01
1729208885145,0.01
1729208886545,0.01
1729208887949,0.01
1729208889449,0.01
1729208890649,0.01
1729208892148,0.01
1729208893848,0.01
1729208895348,0.01
1729208896648,0.01
1729208897947,0.01
1729208899247,0.01
1729208900547,0.01
1729208901947,0.01
1729208903247,0.01
1729208904546,0.01
1729208905846,0.01
1729208907151,0.01
1729208908451,0.01
1729208909753,0.01
1729208911055,0.01
1729208912361,0.01
1729208912463,0
1729208913663,0
1729208913763,0.01
1729208920071,0
1729208920173,0.01
1729208920771,0
1729208921172,0.01
1729208921274,0.13
1729208921372,0.41
1729208921472,0.85
1729208921572,1.19
1729208921673,1.42
1729208921773,1.55
1729208921873,1.62
1729208921973,1.78
1729208922073,1.93
1729208922273,2.01
1729208922879,2
1729208924280,2
1729208925482,2
1729208925682,2
1729208926883,2
1729208927484,2
1729208928585,2
1729208928985,2
1729208930091,2
1729208930391,2
1729208931493,2
1729208931793,2
1729208932393,2
1729208933094,2
1729208934195,2
1729208934295,2
1729208934395,2.01
1729208934495,2.06
1729208934595,2.19
1729208934695,2.47
1729208934801,2.91
1729208934901,3.27
1729208935602,3.5
1729208936002,3.5
1729208936902,3.49
1729208938204,3.49
1729208939505,3.49
1729208940806,3.49
1729208942112,3.49
1729208943416,3.49
1729208944714,3.49
1729208946015,3.49
1729208947316,3.49
1729208948617,3.49
1729208950018,3.49
1729208951619,3.49
1729208953220,3.49
1729208954721,3.49
1729208956122,3.49
1729208957523,3.49
1729208958223,3.49
1729208958323,3.41
1729208958423,3.07
1729208958526,2.53
1729208958625,2.34
1729208958824,2.33
1729208958924,2.31
1729208959024,2.25
1729208959129,2.12
1729208959229,1.96
1729208959329,1.86
1729208959429,1.84
1729208960231,1.85
1729208961631,1.85
1729208963031,1.85

