"Time","data TPS"
1729209199867,0
1729209201372,0
1729209202977,2.3
1729209203026,3.8
1729209203126,3.9
1729209203826,0
1729209203876,0.2
1729209203926,0.6
1729209203976,2.9
1729209204026,6.8
1729209204279,7.3
1729209204326,9.8
1729209204376,15.6
1729209205426,19.6
1729209205476,18.8
1729209205526,5.4
1729209205576,0.2
1729209205626,0.1
1729209206626,0
1729209206676,1.5
1729209206726,7.3
1729209206776,14.3
1729209206826,23.3
1729209206876,24.2
1729209206976,24.2
1729209207026,23.1
1729209207126,23
1729209207176,23.3
1729209207226,25.5
1729209207278,25.8
1729209207326,30.4
1729209207526,30.5
1729209207576,30
1729209207626,26.8
1729209207676,15.5
1729209207726,5.6
1729209207776,2.9
1729209207826,0.1
1729209208027,0
1729209208076,11.2
1729209208126,18.4
1729209208176,18.7
1729209208226,18.8
1729209208276,19.7
1729209208326,27.9
1729209208376,39.9
1729209208426,52.6
1729209208476,62.2
1729209208526,71.3
1729209208576,79.6
1729209209026,81.1
1729209209126,81.2
1729209209176,79.9
1729209209226,76.6
1729209209276,73.9
1729209209326,73.4
1729209209376,71.6
1729209209426,70.2
1729209209476,70
1729209209628,70
1729209209676,69.3
1729209209826,69
1729209209876,68.8
1729209209926,68.5
1729209210126,68.2
1729209210326,68.4
1729209210776,68.3
1729209211126,68.3
1729209211176,69.2
1729209211226,69.6
1729209211276,70.7
1729209211326,73.1
1729209211376,74.2
1729209211426,75.1
1729209211476,75.6
1729209211526,76
1729209211576,76.1
1729209211626,76.8
1729209211676,77.7
1729209211726,78.1
1729209211777,80.6
1729209211826,81.7
1729209211879,82.8
1729209211926,84.8
1729209211976,90.2
1729209212076,91.2
1729209212126,91.1
1729209212576,91.1
1729209212676,91.2
1729209212726,87.5
1729209212776,84
1729209212826,77.6
1729209212876,73.6
1729209212926,71.1
1729209213426,70.7
1729209213626,70.7
1729209213676,71.3
1729209213726,74.6
1729209213776,76.7
1729209214626,77
1729209214676,77.1
1729209214726,72.3
1729209214776,63.9
1729209214826,60.8
1729209214926,60.6
1729209214978,60.5
1729209215026,59.9
1729209215076,57.1
1729209215126,54.5
1729209215176,51.8
1729209215226,51.2
1729209216076,51.1
1729209217381,51.1
1729209217481,51.1
1729209217531,51.3
1729209217581,51.4
1729209217631,51.5
1729209217681,52.5
1729209217781,53
1729209217831,53.3
1729209217881,53.7
1729209218181,53.8
1729209218681,53.9
1729209220130,53.9
1729209220280,53.8
1729209221580,53.9
1729209221780,53.8
1729209222830,53.9
1729209223230,53.8
1729209224430,53.9
1729209224580,53.8
1729209225681,53.9
1729209226030,53.8
1729209226885,53.9
1729209227335,53.8
1729209228635,53.9
1729209228686,53.8
1729209229385,53.9
1729209230135,53.8
1729209231385,53.9
1729209231435,53.8
1729209232636,53.9
1729209232835,53.8
1729209234036,53.9
1729209234285,53.8
1729209235540,53.9
1729209235690,53.8
1729209236989,53.9
1729209237189,53.8
1729209238289,53.9
1729209238439,53.8
1729209239689,53.8
1729209239739,53.9
1729209240789,53.9
1729209240992,53.8
1729209242239,53.9
1729209242289,53.8
1729209243139,53.9
1729209243589,53.8
1729209244789,53.8
1729209244889,53.9
1729209245989,53.9
1729209246189,53.8
1729209247489,53.9
1729209247539,53.8
1729209247994,53.9
1729209248194,53.8
1729209248244,55.9
1729209248294,57.9
1729209248394,58.3
1729209248795,58.4
1729209248844,58.5
1729209250099,58.4
1729209250149,58.5
1729209251449,58.4
1729209251499,58.5
1729209251549,58.7
1729209251599,58.8
1729209253249,59
1729209253349,58.9
1729209254150,58.9
1729209254949,59
1729209256355,59
1729209257703,59
1729209258953,59.1
1729209259153,59
1729209260603,59
1729209261803,59.1
1729209262053,59
1729209263303,59.1
1729209263455,59
1729209264553,59.1
1729209264962,59
1729209265809,59.1
1729209265958,59
1729209266008,62.4
1729209266058,64.1
1729209266108,65.7
1729209266158,67.2
1729209266208,67.8
1729209266258,68
1729209266308,68.1
1729209266363,68.2
1729209266413,68.4
1729209266463,68.3
1729209267163,68.3
1729209267263,68.4
1729209267316,68.2
1729209267363,67.7
1729209267414,67
1729209267463,65.3
1729209267513,63
1729209267563,60.4
1729209267613,57.3
1729209267663,54.3
1729209267714,50.4
1729209267763,48.8
1729209267813,47
1729209267863,42.9
1729209267913,40.3
1729209267963,39
1729209268013,37.6
1729209268065,37.4
1729209269163,37.4
1729209269363,37.3
1729209270368,37.4
1729209270618,37.3
1729209271818,37.3
1729209271868,37.4
1729209273068,37.4
1729209273118,37.3
1729209274371,37.4
1729209274418,37.3
1729209274768,37.3
1729209274968,37.4
1729209275022,37.5
1729209275068,38.1
1729209275120,39.2
1729209275523,39.9
1729209275573,40
1729209275623,39.8
1729209275673,36.6
1729209275723,27.6
1729209275773,24.3
1729209275823,23.9
1729209275873,22.9
1729209275923,20.5
1729209275973,19
1729209276023,16.5
1729209276073,14
1729209276123,11.6
1729209276173,6.8
1729209276223,0.4
1729209277023,0
1729209278374,0
1729209279723,0
1729209281329,0
1729209281527,0
1729209281627,0.2
1729209281677,0.3
1729209282627,1.1
1729209282677,1
1729209284027,1.1
1729209284077,1
1729209285277,1.1
1729209285427,1
1729209286532,1
1729209286684,1.1
1729209286732,0.3
1729209286832,0.2
1729209287082,0.2
1729209288237,0.1
1729209288290,0
1729209289637,0
1729209289687,0.1
1729209290087,0
1729209291087,0.1
1729209291987,0
1729209292442,0.1
1729209293692,0
1729209293792,0.1
1729209294892,0
1729209295192,0.1
1729209295642,0.1
1729209296592,0.2
1729209298042,0.2
1729209299442,0.2
1729209300792,0.2
1729209302200,0.2
1729209303601,0.2
1729209305001,0.2
1729209305051,0.3
1729209306251,0.2
1729209307501,0.2
1729209308801,0.2
1729209310051,0.2
1729209311651,0.2
1729209313356,0.2
1729209313406,0.2
1729209313456,0.3
1729209313506,0.4
1729209313556,1
1729209313606,1.4
1729209313656,2.4
1729209313706,3.1
1729209313758,4.3
1729209313806,7.5
1729209313859,10.1
1729209313906,13
1729209313956,15.5
1729209314006,16.3
1729209314056,17
1729209314106,18.1
1729209314156,18.5
1729209314206,18.7
1729209314256,18.6
1729209314306,19.1
1729209314356,19.8
1729209314406,23.3
1729209314456,27.4
1729209314706,28.1
1729209314806,28
1729209315106,28
1729209315156,28.1
1729209315206,25.7
1729209315261,21.8
1729209315511,19.4
1729209315561,17.1
1729209315611,12.6
1729209315811,12.2
1729209315861,12
1729209315911,9.3
1729209315961,5.2
1729209316011,0.2
1729209316061,0.1
1729209316114,0
1729209317466,0
1729209318816,0
1729209320166,0
1729209321516,0
1729209322916,0
1729209324316,0
1729209325666,0

